"","Year","Phrase","Frequency","Corpus"
"145",1924,"innovation",2.77326525325147e-06,"eng_2019"
"146",1925,"innovation",2.79671394309844e-06,"eng_2019"
"147",1926,"innovation",2.80824065157503e-06,"eng_2019"
"148",1927,"innovation",2.84459425919132e-06,"eng_2019"
"149",1928,"innovation",2.87513713763993e-06,"eng_2019"
"150",1929,"innovation",2.90233320551384e-06,"eng_2019"
"151",1930,"innovation",2.90532316934592e-06,"eng_2019"
"152",1931,"innovation",2.92366124605386e-06,"eng_2019"
"153",1932,"innovation",2.92958985223127e-06,"eng_2019"
"154",1933,"innovation",2.95997327676949e-06,"eng_2019"
"155",1934,"innovation",2.97977190452262e-06,"eng_2019"
"156",1935,"innovation",2.98410473728187e-06,"eng_2019"
"157",1936,"innovation",3.045592685729e-06,"eng_2019"
"158",1937,"innovation",3.05405488428992e-06,"eng_2019"
"159",1938,"innovation",3.03324178016088e-06,"eng_2019"
"160",1939,"innovation",3.00043896978813e-06,"eng_2019"
"161",1940,"innovation",2.9381878903223e-06,"eng_2019"
"162",1941,"innovation",2.88965718807179e-06,"eng_2019"
"163",1942,"innovation",2.89160539068689e-06,"eng_2019"
"164",1943,"innovation",2.87049020438904e-06,"eng_2019"
"165",1944,"innovation",2.89716961430843e-06,"eng_2019"
"166",1945,"innovation",2.93031598630478e-06,"eng_2019"
"167",1946,"innovation",2.99233072707596e-06,"eng_2019"
"168",1947,"innovation",3.07100539690249e-06,"eng_2019"
"169",1948,"innovation",3.15234651030291e-06,"eng_2019"
"170",1949,"innovation",3.21809687063381e-06,"eng_2019"
"171",1950,"innovation",3.30599079591463e-06,"eng_2019"
"172",1951,"innovation",3.43736815011653e-06,"eng_2019"
"173",1952,"innovation",3.51609953343411e-06,"eng_2019"
"174",1953,"innovation",3.62420213865075e-06,"eng_2019"
"175",1954,"innovation",3.72632163297177e-06,"eng_2019"
"176",1955,"innovation",3.89660824241998e-06,"eng_2019"
"177",1956,"innovation",4.10325342922338e-06,"eng_2019"
"178",1957,"innovation",4.32751266998821e-06,"eng_2019"
"179",1958,"innovation",4.53716354188925e-06,"eng_2019"
"180",1959,"innovation",4.81811132755995e-06,"eng_2019"
"181",1960,"innovation",5.14226472400229e-06,"eng_2019"
"182",1961,"innovation",5.57549024701335e-06,"eng_2019"
"183",1962,"innovation",5.93783430044173e-06,"eng_2019"
"184",1963,"innovation",6.46623565054532e-06,"eng_2019"
"185",1964,"innovation",7.08547323873583e-06,"eng_2019"
"186",1965,"innovation",7.65349432185758e-06,"eng_2019"
"187",1966,"innovation",8.27718648516955e-06,"eng_2019"
"188",1967,"innovation",8.88717106915595e-06,"eng_2019"
"189",1968,"innovation",9.48251382786631e-06,"eng_2019"
"190",1969,"innovation",1.00304667804656e-05,"eng_2019"
"191",1970,"innovation",1.04268912244671e-05,"eng_2019"
"192",1971,"innovation",1.05860105707377e-05,"eng_2019"
"193",1972,"innovation",1.08318702457057e-05,"eng_2019"
"194",1973,"innovation",1.09534249921645e-05,"eng_2019"
"195",1974,"innovation",1.10924348908676e-05,"eng_2019"
"196",1975,"innovation",1.12932206580548e-05,"eng_2019"
"197",1976,"innovation",1.16237075157447e-05,"eng_2019"
"198",1977,"innovation",1.21031442696611e-05,"eng_2019"
"199",1978,"innovation",1.25556592008382e-05,"eng_2019"
"200",1979,"innovation",1.28449363338794e-05,"eng_2019"
"201",1980,"innovation",1.31234583022888e-05,"eng_2019"
"202",1981,"innovation",1.33556846516772e-05,"eng_2019"
"203",1982,"innovation",1.34077489357359e-05,"eng_2019"
"204",1983,"innovation",1.34133489544703e-05,"eng_2019"
"205",1984,"innovation",1.32057508121112e-05,"eng_2019"
"206",1985,"innovation",1.31641988575991e-05,"eng_2019"
"207",1986,"innovation",1.30606689968512e-05,"eng_2019"
"208",1987,"innovation",1.31821897022227e-05,"eng_2019"
"209",1988,"innovation",1.32489237460374e-05,"eng_2019"
"210",1989,"innovation",1.33498180210674e-05,"eng_2019"
"211",1990,"innovation",1.33741289443736e-05,"eng_2019"
"212",1991,"innovation",1.35671853058739e-05,"eng_2019"
"213",1992,"innovation",1.36696631411074e-05,"eng_2019"
"214",1993,"innovation",1.40363927130238e-05,"eng_2019"
"215",1994,"innovation",1.43201729900154e-05,"eng_2019"
"216",1995,"innovation",1.47660110607311e-05,"eng_2019"
"217",1996,"innovation",1.52542773191401e-05,"eng_2019"
"218",1997,"innovation",1.59343463954948e-05,"eng_2019"
"219",1998,"innovation",1.65161357342315e-05,"eng_2019"
"220",1999,"innovation",1.7313998926381e-05,"eng_2019"
"221",2000,"innovation",1.80150213314586e-05,"eng_2019"
"222",2001,"innovation",1.85230302512147e-05,"eng_2019"
"223",2002,"innovation",1.94309538658542e-05,"eng_2019"
"224",2003,"innovation",2.02842033364245e-05,"eng_2019"
"225",2004,"innovation",2.10119396797381e-05,"eng_2019"
"226",2005,"innovation",2.18003489343183e-05,"eng_2019"
"227",2006,"innovation",2.23818156622916e-05,"eng_2019"
"228",2007,"innovation",2.33522834085826e-05,"eng_2019"
"229",2008,"innovation",2.42457070791196e-05,"eng_2019"
"230",2009,"innovation",2.45201437272564e-05,"eng_2019"
"231",2010,"innovation",2.49774555933462e-05,"eng_2019"
"232",2011,"innovation",2.51533646015949e-05,"eng_2019"
"233",2012,"innovation",2.55326176556991e-05,"eng_2019"
"234",2013,"innovation",2.64593171388177e-05,"eng_2019"
"235",2014,"innovation",2.65549110086535e-05,"eng_2019"
"236",2015,"innovation",2.67786825653665e-05,"eng_2019"
"237",2016,"innovation",2.76696441038179e-05,"eng_2019"
"238",2017,"innovation",2.79154064628528e-05,"eng_2019"
"239",2018,"innovation",2.85905771306716e-05,"eng_2019"
"240",2019,"innovation",2.90438756564981e-05,"eng_2019"
